Line,Stop,Date,Score
5,8042,20210920,63.44
5,8042,20210921,65.03
5,8042,20210906,70.88
5,8042,20210907,89.48
5,8042,20210908,76.01
5,8042,20210909,66.28
5,8042,20210910,74.95
5,8042,20210911,92.82
5,8042,20210912,82.72
5,8042,20210913,81.26
5,8042,20210914,82.71
5,8042,20210915,85.04
5,8042,20210916,79.18
5,8042,20210917,51.83
5,8042,20210918,91.41
5,8042,20210919,92.98
5,8042,20210920,56.09
5,8042,20210921,46.21
5,8052,20210906,80.46
5,8052,20210907,77.25
5,8052,20210908,58.4
5,8052,20210909,75.99
5,8052,20210910,71.37
5,8052,20210911,94.61
5,8052,20210912,94.75
5,8052,20210913,68.74
5,8052,20210914,66.68
5,8052,20210915,72.08
5,8052,20210916,62.23
5,8052,20210917,53.95
5,8052,20210918,89.23
5,8052,20210919,92.88
5,8052,20210920,65.29
5,8052,20210921,61.56
5,8052,20210906,72.22
5,8052,20210907,89.97
5,8052,20210908,79.47
5,8052,20210909,68.2
5,8052,20210910,78.46
5,8052,20210911,93.68
5,8052,20210912,82.38
5,8052,20210913,86.42
5,8052,20210914,83.74
5,8052,20210915,83.95
5,8052,20210916,81.09
5,8052,20210917,58.83
5,8052,20210918,90.68
5,8052,20210919,89.26
5,8052,20210920,59.96
5,8052,20210921,54.65
5,8062,20210906,81.18
5,8062,20210907,77.28
5,8062,20210908,63.37
5,8062,20210909,79.58
5,8062,20210910,73.09
5,8062,20210911,93.74
5,8062,20210912,96.1
5,8062,20210913,71.67
5,8062,20210914,64.64
5,8062,20210915,74.26
5,8062,20210916,64.67
5,8062,20210917,55.63
5,8062,20210918,87.64
5,8062,20210919,90.09
5,8062,20210920,63.32
5,8062,20210921,68.93
5,8062,20210906,73.16
5,8062,20210907,88.39
5,8062,20210908,74.78
5,8062,20210909,71.26
5,8062,20210910,82.36
5,8062,20210911,94.7
5,8062,20210912,88.42
5,8062,20210913,84.46
5,8062,20210914,82.84
5,8062,20210915,85.48
5,8062,20210916,84.66
5,8062,20210917,59.15
5,8062,20210918,88.1
5,8062,20210919,84.45
5,8062,20210920,56.69
5,8062,20210921,49.11
5,8072,20210906,79.0
5,8072,20210907,77.44
5,8072,20210908,57.59
5,8072,20210909,76.05
5,8072,20210910,71.02
5,8072,20210911,90.56
5,8072,20210912,92.76
5,8072,20210913,73.86
5,8072,20210914,66.15
5,8072,20210915,71.42
5,8072,20210916,65.9
5,8072,20210917,55.72
5,8072,20210918,88.69
5,8072,20210919,90.47
5,8072,20210920,67.78
5,8072,20210921,67.95
5,8072,20210906,72.1
5,8072,20210907,88.88
5,8072,20210908,72.83
5,8072,20210909,71.61
5,8072,20210910,79.81
5,8072,20210911,94.59
5,8072,20210912,88.35
5,8072,20210913,81.29
5,8072,20210914,85.13
5,8072,20210915,84.7
5,8072,20210916,85.07
5,8072,20210917,67.52
5,8072,20210918,87.97
5,8072,20210919,88.04
5,8072,20210920,54.45
5,8072,20210921,42.95
5,8202,20210906,78.83
5,8202,20210907,76.4
5,8202,20210908,55.13
5,8202,20210909,72.33
5,8202,20210910,68.94
5,8202,20210911,93.72
5,8202,20210912,94.25
5,8202,20210913,71.66
5,8202,20210914,69.37
5,8202,20210915,68.91
5,8202,20210916,68.02
5,8202,20210917,59.65
5,8202,20210918,87.76
5,8202,20210919,92.55
5,8202,20210920,65.3
5,8202,20210921,68.49
5,8202,20210906,69.83
5,8202,20210907,87.84
5,8202,20210908,73.52
5,8202,20210909,72.73
5,8202,20210910,77.54
5,8202,20210911,94.89
5,8202,20210912,87.09
5,8202,20210913,81.83
5,8202,20210914,85.86
5,8202,20210915,82.57
5,8202,20210916,84.59
5,8202,20210917,68.88
5,8202,20210918,88.02
5,8202,20210919,89.54
5,8202,20210920,56.2
5,8202,20210921,49.53
5,8212,20210906,79.62
5,8212,20210907,73.41
5,8212,20210908,62.08
5,8212,20210909,68.72
5,8212,20210910,67.17
5,8212,20210911,91.35
5,8212,20210912,93.2
